MACH,ALPHA_DEG,BETA_DEG,DELTA_ELEVON_L,DELTA_ELEVON_R,DELTA_RUDDER,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
3.0,8.0,4.0,0.0,0.0,0,0.0312519827175138,0.2349358145432246,-0.0237,-0.0053,-0.0108,0.0163,0,0
3.0,10.0,4.0,0.0,0.0,0,0.0345854640570992,0.2806697063074948,-0.0229,-0.0066,-0.0127,0.0171,0,0
3.0,12.0,4.0,0.0,0.0,0,0.0383610976592503,0.3276353389156598,-0.0227,-0.0071,-0.0145,0.0172,0,0
3.0,14.0,4.0,0.0,0.0,0,0.0423444938037196,0.3757040769501558,0.0,0.0,-0.0164,0.0,0,0
3.0,16.0,4.0,0.0,0.0,0,0.0468782720483478,0.4249845850290596,0.0,0.0,-0.0181,0.0,0,0
3.0,-6.0,8.0,0.0,0.0,0,0.0145517894182507,-0.0415486842251803,-0.0776,0.0118,0.0022,0.0374,0,0
3.0,-4.0,8.0,0.0,0.0,0,0.0160577265012088,-0.0074382495792017,-0.0698,0.0062,0.0005,0.0352,0,0
3.0,-2.0,8.0,0.0,0.0,0,0.0180447902294554,0.0286877216878257,-0.0639,0.0034,-0.0013,0.0326,0,0
3.0,0.0,8.0,0.0,0.0,0,0.0203004954092021,0.0667,-0.0594,0.001,-0.0032,0.0305,0,0
3.0,2.0,8.0,0.0,0.0,0,0.0228341404868441,0.1065618145888687,-0.0556,-0.0018,-0.0051,0.0294,0,0
3.0,4.0,8.0,0.0,0.0,0,0.0255829113637168,0.1480452043619411,-0.0525,-0.0047,-0.007,0.0295,0,0
3.0,6.0,8.0,0.0,0.0,0,0.0284045920953575,0.1911160420365499,-0.0497,-0.0076,-0.0088,0.0307,0,0
3.0,8.0,8.0,0.0,0.0,0,0.0314920299690487,0.2355754475278345,-0.0474,-0.0106,-0.0106,0.0325,0,0
3.0,10.0,8.0,0.0,0.0,0,0.0347452450865279,0.2814086786423085,-0.0459,-0.0132,-0.0124,0.0341,0,0
3.0,12.0,8.0,0.0,0.0,0,0.0383107735006381,0.3284425146614283,-0.0455,-0.0141,-0.0143,0.0344,0,0
3.0,14.0,8.0,0.0,0.0,0,0.0421268387266098,0.3766804230738212,0.0,0.0,-0.0164,0.0,0,0
3.0,16.0,8.0,0.0,0.0,0,0.0463866074056216,0.4259879318408649,0.0,0.0,-0.0189,0.0,0,0
4.0,-6.0,-8.0,0.0,0.0,0,0.009766730887019,-0.0359176620817798,0.0634,-0.0099,0.0022,-0.0274,0,0
4.0,-4.0,-8.0,0.0,0.0,0,0.0114067019546914,-0.0058098437928872,0.0585,-0.006,0.0015,-0.0265,0,0
4.0,-2.0,-8.0,0.0,0.0,0,0.0131687608852132,0.0252558020251152,0.0537,-0.0034,0.0006,-0.0253,0,0
4.0,0.0,-8.0,0.0,0.0,0,0.0149530478379977,0.0574,0.049,-0.0008,-0.0005,-0.024,0,0
4.0,2.0,-8.0,0.0,0.0,0,0.016938771378826,0.090946556780977,0.0445,0.0019,-0.0017,-0.0229,0,0
4.0,4.0,-8.0,0.0,0.0,0,0.0192786145277906,0.126051864173914,0.0405,0.0043,-0.003,-0.022,0,0
4.0,6.0,-8.0,0.0,0.0,0,0.0218141765330747,0.1628724345887528,0.0371,0.0062,-0.0044,-0.0214,0,0
