,ALPHA_DEG,BETA_DEG,MACH,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
1131,0,-3,5.0,0.0456771,0.0913536,0.0463328,-0.00412771,-0.0130528,-0.0697514,-2.37571,0.261379
1132,0,-2,5.0,0.0455594,0.0916483,0.0307561,-0.00274374,-0.0131221,-0.0463169,-2.37102,0.260867
1133,0,-1,5.0,0.0454436,0.0918361,0.015388,-0.00137509,-0.0131667,-0.0232045,-2.36813,0.260575
1134,0,0,5.0,0.0447922,0.0919113,0.000109021,-2.93499e-05,-0.0131432,-0.000145287,-2.36711,0.260474
1135,0,1,5.0,0.0455392,0.0918418,-0.0151724,0.00131165,-0.013168,0.0229481,-2.36806,0.260586
1136,0,2,5.0,0.0455582,0.0916647,-0.0305379,0.00268315,-0.0131279,0.046037,-2.37096,0.260875
1137,0,3,5.0,0.0456847,0.0913768,-0.0461154,0.00406498,-0.0130584,0.0694832,-2.37565,0.261393
1138,0,4,5.0,0.0459299,0.0909648,-0.0619186,0.00544336,-0.0129502,0.0932597,-2.38213,0.262095
1139,0,5,5.0,0.0460614,0.0904331,-0.0780717,0.00682052,-0.0128276,0.117659,-2.39018,0.262952
1140,1,-6,5.0,0.049495,0.120157,0.0944396,-0.00813886,-0.0198049,-0.142637,-2.38639,0.269506
1141,1,-5,5.0,0.0491713,0.120818,0.0779406,-0.00677542,-0.0199513,-0.117653,-2.37683,0.268603
1142,1,-4,5.0,0.0489266,0.121361,0.0618482,-0.00541874,-0.0200639,-0.0933346,-2.36868,0.267833
1143,1,-3,5.0,0.0487377,0.121776,0.0461262,-0.00406543,-0.0201613,-0.0695845,-2.3621,0.267198
1144,1,-2,5.0,0.0486162,0.122066,0.0306348,-0.00271722,-0.0202269,-0.04623,-2.35736,0.26674
1145,1,-1,5.0,0.0484892,0.122248,0.0153265,-0.00137389,-0.0202688,-0.023152,-2.35443,0.266474
1146,1,0,5.0,0.0480834,0.122313,0.000100634,-2.85441e-05,-0.0202551,-0.000183576,-2.35351,0.266402
1147,1,1,5.0,0.0485365,0.122245,-0.0151237,0.00131569,-0.020267,0.0227741,-2.3544,0.26648
1148,1,2,5.0,0.0485654,0.12208,-0.0304268,0.00266192,-0.0202312,0.0458288,-2.35731,0.266753
1149,1,3,5.0,0.0486705,0.121792,-0.0459213,0.00401006,-0.0201665,0.0691987,-2.36203,0.267213
1150,1,4,5.0,0.0489006,0.121388,-0.0616481,0.00536309,-0.0200655,0.0929074,-2.36858,0.267853
1151,1,5,5.0,0.0490268,0.120867,-0.0777311,0.00671545,-0.0199455,0.117272,-2.37671,0.268629
1152,2,-6,5.0,0.0524033,0.151101,0.0941071,-0.00804475,-0.0269767,-0.14227,-2.37244,0.27459
1153,2,-5,5.0,0.0521038,0.151752,0.0776686,-0.00669611,-0.0271104,-0.117365,-2.36279,0.273768
1154,2,-4,5.0,0.0518067,0.152295,0.0616302,-0.00535353,-0.0272148,-0.093136,-2.3546,0.273069
1155,2,-3,5.0,0.0518279,0.152681,0.045978,-0.00400568,-0.027291,-0.0695067,-2.34801,0.272494
1156,2,-2,5.0,0.0515138,0.152994,0.0305315,-0.00268553,-0.027369,-0.0461538,-2.34325,0.272084
1157,2,-1,5.0,0.0514294,0.153168,0.0152651,-0.00135504,-0.0274104,-0.0231451,-2.34034,0.27184
1158,2,0,5.0,0.0510096,0.153244,9.98615e-05,-2.89441e-05,-0.0274009,-0.00021549,-2.33936,0.271758
1159,2,1,5.0,0.0514589,0.153168,-0.0150688,0.00129883,-0.0274132,0.0227171,-2.34031,0.271845
